metric,count,risk,recommended_action
platform_profiles,162,informational,"preserve and classify with business owner"
active_profiles,1,high,"protect current access and test before RLS changes"
inactive_profiles,161,high,"manual keep-invite-merge-archive decision"
invalid_emails,0,low,"none"
duplicate_normalized_email_groups,0,low,"none"
profiles_without_auth_uid,135,high,"invite only after approved identity list"
valid_uid_links,1,informational,"preserve"
orphan_uid_links,26,high,"investigate individually; do not overwrite in bulk"
auth_users,2,informational,"preserve"
confirmed_auth_users,2,informational,"preserve"
auth_without_uid_linked_profile,1,high,"manual identity verification"
deterministic_email_candidates,0,informational,"no automatic links are safe"
ambiguous_matches,0,low,"none"
duplicate_auth_uid_groups,0,low,"none"
